x,y,CO2flux
514930,4048571,43.99
514907,4048599,41.02
514906,4048632,31.12
514871,4048615,1.41
514871,4048582,21.22
514889,4048554,160.68
514923,4048543,43.14
514943,4048520,57.92
514969,4048492,41.87
514998,4048462,15.35
515029,4048435,33.17
515063,4048399,12.94
515043,4048371,6.36
515012,4048401,12.02
514984,4048430,8.42
514952,4048459,39.53
514925,4048488,30.55
514892,4048519,50.56
514872,4048545,32.39
514850,4048572,93.14
514834,4048599,119.09
514819,4048574,307.7
514788,4048582,263.93
514805,4048566,53.46
514842,4048544,3.25
514859,4048518,15.13
514879,4048487,26.59
514914,4048450,37.69
514936,4048419,16.97
514963,4048388,13.51
514991,4048359,15.7
515014,4048332,8.98
515028,4048236,3.11
514988,4048206,4.24
514960,4048179,8.2
514938,4048143,17.11
514922,4048104,62.73
514914,4048064,356.5
514915,4048018,15.56
514886,4048005,64.71
514871,4048036,103.25
514919,4047980,19.17
514884,4047958,21.29
514848,4047941,15.91
514827,4047979,12.45
514857,4048005,7.07
514804,4048012,2.55
514833,4048044,8.63
514862,4048075,125.67
514897,4048097,10.18
514778,4048057,10.4
514816,4048085,3.18
514851,4048113,4.67
514873,4048146,25.67
514907,4048137,41.51
514909,4048177,18.53
514950,4048206,7.21
514968,4048241,5.3
515022,4048278,5.3
514994,4048313,9.48
514963,4048347,5.45
514931,4048377,19.73
514902,4048411,7.78
514873,4048441,32.18
514850,4048473,41.8
514828,4048505,22.21
514809,4048533,12.73
514786,4048508,0.07
514808,4048482,162.02
514829,4048454,32.32
514853,4048417,22.91
514883,4048388,9.97
514913,4048350,2.12
514944,4048320,7.57
514940,4048273,5.52
514913,4048306,4.17
514887,4048336,3.11
514859,4048370,6.01
514828,4048400,36.14
514809,4048427,16.34
514792,4048460,19.24
514747,4048482,7
514764,4048447,3.39
514767,4048412,3.68
514795,4048382,22.21
514823,4048348,3.39
514851,4048315,12.87
514879,4048285,4.6
514904,4048252,5.52
514928,4048214,9.9
514887,4048207,8.91
514864,4048242,10.82
514840,4048277,6.36
514814,4048313,13.51
514789,4048348,13.79
514766,4048382,97.17
514744,4048411,43.92
514727,4048447,47.88
514685,4048451,148.51
514703,4048427,1.27
514728,4048395,40.03
514753,4048355,8.84
514781,4048321,8.7
514806,4048284,3.61
514831,4048244,5.09
514846,4048205,1.34
514846,4048162,7.28
514820,4048134,6.93
514807,4048177,5.87
514795,4048218,4.74
514779,4048258,6.93
514759,4048293,9.26
514736,4048329,22.56
514714,4048360,25.25
514695,4048397,37.34
514680,4048422,2.48
514653,4048444,65.13
514619,4048434,23.13
514643,4048407,22.63
514666,4048377,25.81
514688,4048344,24.82
514709,4048304,23.62
514729,4048264,31.75
514748,4048230,4.67
514767,4048191,3.68
514787,4048149,4.67
514808,4048107,9.05
514756,4048105,4.53
514746,4048146,3.54
514737,4048188,2.4
514715,4048230,11.46
514696,4048270,25.95
514676,4048309,23.13
514656,4048346,12.23
514633,4048380,11.88
514612,4048410,22.7
514590,4048428,110.75
514563,4048397,16.55
514587,4048369,1.34
514618,4048342,8.13
514640,4048306,3.25
514661,4048269,20.93
514679,4048224,13.08
514694,4048180,8.84
514708,4048134,2.76
514716,4048092,1.91
514735,4048052,15.7
514753,4048011,7.5
514776,4047973,3.25
514797,4047935,11.46
514780,4047878,3.96
514759,4047916,3.18
514739,4047960,1.2
514722,4048001,1.06
514704,4048044,4.81
514685,4048087,1.56
514665,4048139,3.61
514652,4048180,6.36
514635,4048222,18.39
514613,4048259,10.18
514583,4048296,0.14
514566,4048334,1.49
514554,4048368,0.14
514582,4048241,0.92
514599,4048204,0.14
514607,4048160,0.07
514626,4048114,0.85
514656,4048066,3.75
514675,4048019,0.71
514691,4047976,1.34
514711,4047939,3.75
514730,4047894,3.32
514746,4047856,21.57
514713,4047812,10.61
514693,4047852,2.4
514693,4047894,5.09
514674,4047937,3.47
514661,4047887,8.42
514615,4047880,1.27
514654,4047850,3.11
514681,4047803,7.92
514715,4047770,15.98
514753,4047743,7.14
514788,4047715,3.39
514821,4047678,95.05
514775,4047658,26.87
514743,4047697,5.16
514711,4047728,2.48
514667,4047706,4.95
514703,4047672,3.82
514745,4047655,17.61
514688,4047764,6.51
514650,4047793,5.94
514608,4047820,17.82
514572,4047840,3.04
514536,4047808,1.7
514557,4047770,3.11
514598,4047767,2.12
514628,4047741,0.71
514826,4047652,168.95
514793,4047629,78.36
514749,4047631,36.49
514705,4047617,0.57
514668,4047643,1.77
514627,4047643,0.78
514633,4047689,5.94
514601,4047709,2.4
514574,4047670,0.99
514529,4047693,0.99
514547,4047734,2.12
514495,4047750,1.06
514490,4047797,1.98
515195,4047910,2.33
515158,4047899,4.31
515125,4047875,2.97
515079,4047864,7.21
515051,4047838,39.53
515071,4047799,11.46
515101,4047770,69.45
515131,4047739,11.46
515123,4047701,0.35
515083,4047674,0.07
515048,4047649,0.07
515001,4047630,25.03
514961,4047607,0.21
514921,4047581,0.21
514889,4047568,54.67
514860,4047554,243.28
514819,4047541,20.37
514782,4047515,0.35
514743,4047500,0.78
514707,4047488,1.77
514685,4047523,38.19
514657,4047558,0.5
514631,4047585,0.14
514666,4047583,0.07
514701,4047562,0.35
514741,4047566,13.3
514781,4047580,48.23
514825,4047599,111.1
514860,4047607,357.07
514895,4047617,8.34
514935,4047626,0.5
514972,4047662,1.49
515009,4047675,0.35
515046,4047690,0.92
515078,4047714,0.21
515065,4047755,5.16
515040,4047786,10.25
515020,4047827,15.28
515012,4047872,81.12
515049,4047888,13.86
515085,4047890,0.5
515119,4047911,1.27
515155,4047929,5.87
515141,4047952,3.47
515114,4047935,0.21
515081,4047915,2.05
515054,4047902,15.84
515031,4047901,8.2
515012,4047916,13.15
514990,4047932,3.11
514976,4047894,33.8
514980,4047853,2.83
514970,4047825,27.72
514995,4047791,2.4
515011,4047755,5.87
515031,4047724,1.63
514979,4047701,9.76
514936,4047684,15.63
514892,4047671,15.7
514863,4047657,2.83
514846,4047692,8.91
514889,4047705,23.97
514931,4047722,0.57
